Component	Version	Patch Level	Support Package	Description
SAP_BASIS	758	0002	SAPK-75802INSAPBASIS	SAP Basis Component
SAP_ABA	75I	0002	SAPK-75I02INSAPABA	Cross-Application Component
SAP_GWFND	758	0002	SAPK-75802INSAPGWFND	SAP Gateway Foundation
SAP_UI	758	0002	SAPK-75802INSAPUI	User Interface Technology
ST-PI	740	0028	SAPK-74028INSTPI	SAP Solution Tools Plug-In
SAP_BW	758	0002	SAPK-75802INSAPBW	SAP Business Warehouse
UIBAS001	758	0002	SAPK-75802INUIBAS001	UI for Basis Applications
MDG_FND	808	0002	SAPK-80802INMDGFND	S/4HANA MDG Foundation
S4FND	108	0002	SAPK-10802INS4FND	S/4HANA Foundation
S4FSFND	200	0003	SAPK-20003INS4FSFND	Financial Services Foundation on SAP S/4HANA FOUNDATION
MDG_APPL	808	0002	SAPK-80802INMDGAPPL	S/4HANA MDG Applications
S4CEXT	108	0002	SAPK-10802INS4CEXT	S/4HANA Applications EXT
S4CORE	108	0002	SAPK-10802INS4CORE	S/4HANA Core Applications 1
S4HCM	101	0011	SAPK-10111INS4HCM	Human Resources
S4HCMCAE	101	0011	SAPK-10111INS4HCMCAE	Sub component S4HCMCAE of S4HCM
S4HCMCAR	101	0011	SAPK-10111INS4HCMCAR	Sub component S4HCMCAR of S4HCM
S4HCMCAT	101	0011	SAPK-10111INS4HCMCAT	Sub component S4HCMCAT of S4HCM
S4HCMCAU	101	0011	SAPK-10111INS4HCMCAU	Sub component S4HCMCAU of S4HCM
S4HCMCBE	101	0011	SAPK-10111INS4HCMCBE	Sub component S4HCMCBE of S4HCM
S4HCMCBG	101	0011	SAPK-10111INS4HCMCBG	Sub component S4HCMCBG of S4HCM
S4HCMCBR	101	0011	SAPK-10111INS4HCMCBR	Sub component S4HCMCBR of S4HCM
S4HCMCCA	101	0011	SAPK-10111INS4HCMCCA	Sub component S4HCMCCA of S4HCM
S4HCMCCH	101	0011	SAPK-10111INS4HCMCCH	Sub component S4HCMCCH of S4HCM
S4HCMCCL	101	0011	SAPK-10111INS4HCMCCL	Sub component S4HCMCCL of S4HCM
S4HCMCCN	101	0011	SAPK-10111INS4HCMCCN	Sub component S4HCMCCN of S4HCM
S4HCMCCO	101	0011	SAPK-10111INS4HCMCCO	Sub component S4HCMCCO of S4HCM
S4HCMCCZ	101	0011	SAPK-10111INS4HCMCCZ	Sub component S4HCMCCZ of S4HCM
S4HCMCDE	101	0011	SAPK-10111INS4HCMCDE	Sub component S4HCMCDE of S4HCM
S4HCMCDK	101	0011	SAPK-10111INS4HCMCDK	Sub component S4HCMCDK of S4HCM
S4HCMCEG	101	0011	SAPK-10111INS4HCMCEG	Sub component S4HCMCEG of S4HCM
S4HCMCES	101	0011	SAPK-10111INS4HCMCES	Sub component S4HCMCES of S4HCM
S4HCMCFI	101	0011	SAPK-10111INS4HCMCFI	Sub component S4HCMCFI of S4HCM
S4HCMCFR	101	0011	SAPK-10111INS4HCMCFR	Sub component S4HCMCFR of S4HCM
S4HCMCGB	101	0011	SAPK-10111INS4HCMCGB	Sub component S4HCMCGB of S4HCM
S4HCMCGR	101	0011	SAPK-10111INS4HCMCGR	Sub component S4HCMCGR of S4HCM
S4HCMCHK	101	0011	SAPK-10111INS4HCMCHK	Sub component S4HCMCHK of S4HCM
S4HCMCHR	101	0011	SAPK-10111INS4HCMCHR	Sub component S4HCMCHR of S4HCM
S4HCMCHU	101	0011	SAPK-10111INS4HCMCHU	Sub component S4HCMCHU of S4HCM
S4HCMCID	101	0011	SAPK-10111INS4HCMCID	Sub component S4HCMCID of S4HCM
S4HCMCIE	101	0011	SAPK-10111INS4HCMCIE	Sub component S4HCMCIE of S4HCM
S4HCMCIN	101	0011	SAPK-10111INS4HCMCIN	Sub component S4HCMCIN of S4HCM
